id:ID,name,description,content,:LABEL
14,arg-association,Association argument.,(%TOKENS;)*,Element
36,do-find-matching-object,Find a matching object.,"(arg-dn?, (arg-match-attr | arg-query-condition)+) | (arg-dn, (arg-match-attr | arg-query-condition)*)",Element
13,arg-dn,DN argument.,(%TOKENS;)*,Element
37,arg-match-attr,Match attribute argument.,arg-value?,Element
38,arg-query-condition,Query condition argument.,(arg-match-attr | arg-query-condition)+,Element
39,do-for-each,For-each loop over a node set.,"arg-node-set, arg-actions",Element
40,arg-node-set,Node set argument.,(%TOKENS;)*,Element
12,arg-actions,Actions argument.,(%ACTIONS;)*,Element
41,do-if,Conditional execution.,"arg-conditions, arg-actions, arg-actions?",Element
8,arg-conditions,Conditions argument.,(and* | or*),Element
12,arg-actions,Actions argument.,(%ACTIONS;)*,Element
42,do-while,While loop.,"arg-conditions, arg-actions",Element
8,arg-conditions,Conditions argument.,(and* | or*),Element
12,arg-actions,Actions argument.,(%ACTIONS;)*,Element
43,Argument_Elements,Elements defining dynamic input data for Actions.,,Element
12,arg-actions,"Specifies actions associated with the enclosing action (e.g., do-if, do-while). Contains <do-*> elements.",(%ACTIONS;)*,Element
8,arg-conditions,"Specifies conditions associated with the enclosing action (e.g., do-if, do-while). Contains <and> or <or> elements.",(and* | or*),Element
14,arg-association,Association argument.,(%TOKENS;)*,Element
47,arg-component,Component argument (used for structured attributes).,(%TOKENS;)*,Element
13,arg-dn,DN argument. Concatenates enclosed tokens to form a DN value.,(%TOKENS;)*,Element
37,arg-match-attr,Match attribute argument.,arg-value?,Element
40,arg-node-set,Node set argument. Specifies an XPATH 1.0 node-set.,(%TOKENS;)*,Element
54,arg-object,Java Object argument.,token-local-variable | token-xpath,Element
19,arg-password,Password argument.,(%TOKENS;)*,Element
38,arg-query-condition,Query condition argument. Specifies a logical conditional search expression.,(arg-match-attr | arg-query-condition)+,Element
20,arg-string,String argument. Concatenates enclosed tokens to form a string value.,(%TOKENS;)*,Element
16,arg-value,Value argument. Specifies an attribute value.,(arg-component+ | (%TOKENS;)*),Element
65,Token_Elements,Dynamic values expanded at run-time (45+ types listed).,,Element
66,token-added-entitlement,Granted entitlement value(s) in the current operation.,EMPTY,Element
67,token-association,Association value from the current operation.,EMPTY,Element
68,token-attr,Attribute value(s) in the current operation or source datastore (union of op-attr and src-attr).,EMPTY,Element
69,token-base64-decode,Decode base64 data into a string.,(%TOKENS;)+,Element
70,token-base64-encode,Encode a string into base64 data.,(%TOKENS;)+,Element
71,token-char,A unicode character.,EMPTY,Element
72,token-class-name,Object class name from the current operation.,EMPTY,Element
73,token-convert-time,Convert a date/time from one format to another.,(%TOKENS;)*,Element
48,token-dest-attr,Attribute value(s) of current object in the destination datastore.,(arg-dn | arg-association)?,Element
74,token-dest-dn,Value derived from the destination DN.,EMPTY,Element
75,token-dest-name,Unqualified RDN derived from destination DN.,EMPTY,Element
76,token-document,Read an XML document.,arg-string,Element
77,token-entitlement,Value(s) of a granted entitlement of the current object.,EMPTY,Element
78,token-escape-for-dest-dn,Convert a string for use in a destination DN.,(%TOKENS;)+,Element
79,token-escape-for-src-dn,Convert a string for use in a source DN.,(%TOKENS;)+,Element
80,token-generate-password,Generate a random password.,EMPTY,Element
81,token-global-variable,Value of a global variable (GCV).,EMPTY,Element
82,token-join,Join a node-set into a string.,(%TOKENS;)+,Element
58,token-json-array,Constructs a JSON array.,arg-string*,Element
57,token-json-object,Constructs a JSON string.,arg-string*,Element
83,token-local-variable,Value of a local variable.,EMPTY,Element
84,token-lower-case,Convert a string to lower case.,(%TOKENS;)+,Element
85,token-map,Map a string through a mapping table.,token-map-source-col+ | (%TOKENS;)*,Element
86,token-map-source-col,Used in token-map to have multiple source columns.,(%TOKENS;)+,Element
87,token-named-password,Value of the named password.,EMPTY,Element
88,token-op-attr,Value(s) of an attribute only in the current operation.,EMPTY,Element
89,token-op-property,Value of an operation property.,EMPTY,Element
90,token-operation,Name of the current operation.,EMPTY,Element
91,token-parse-dn,Parse and/or convert a DN.,(%TOKENS;)+,Element
92,token-password,Value of the password in current operation.,EMPTY,Element
49,token-query,Query the source or destination datastore.,"(arg-dn | arg-association)?, (arg-match-attr | arg-query-condition)*, arg-string*",Element
93,token-removed-attr,Value(s) of an attribute removed in the current operation.,EMPTY,Element
94,token-removed-entitlement,Value(s) of an entitlement revoked in the current operation.,EMPTY,Element
95,token-replace-all,Replace all instances of a substring within a string.,(%TOKENS;)+,Element
96,token-replace-first,Replace a single instance of a substring within a string.,(%TOKENS;)+,Element
50,token-resolve,Resolve a DN to an association key or vice versa.,arg-dn | arg-association,Element
97,token-split,Split a string into a node-set.,(%TOKENS;)+,Element
51,token-src-attr,Value(s) of an attribute only in the source datastore.,(arg-dn | arg-association)?,Element
98,token-src-dn,Value derived from the source DN.,EMPTY,Element
99,token-src-name,Unqualified RDN derived from source DN.,EMPTY,Element
100,token-substring,Substring of a string.,(%TOKENS;)+,Element
101,token-text,Constant text.,#PCDATA,Element
102,token-time,Current date/time.,EMPTY,Element
52,token-unique-name,A generated unique name.,"(arg-dn | arg-association)?, arg-string+",Element
103,token-unmatched-src-dn,A DN relative to the one matched by if-src-dn.,EMPTY,Element
104,token-upper-case,Convert a string to upper case.,(%TOKENS;)+,Element
105,token-xml-parse,Parse XML. Returns a document node in a node-set.,(%TOKENS;)+,Element
106,token-xml-serialize,Serialize a node-set result as XML.,(%TOKENS;)+,Element
107,token-xpath,Result of evaluating an XPATH 1.0 expression.,EMPTY,Element
